team_name, division, conference
Tampa Bay Lightning,atlantic,eastern
Boston Bruins,atlantic,eastern
Toronto Maple Leafs,atlantic,eastern
Montreal Canadiens,atlantic,eastern
Florida Panthers,atlantic,eastern
Buffalo Sabres,atlantic,eastern
Detroit Red Wings,atlantic,eastern
Ottawa Senators,atlantic,eastern
Washington Capitals,metropolitan,eastern
New York Islanders,metropolitan,eastern
Pittsburgh Penguins,metropolitan,eastern
Carolina Hurricanes,metropolitan,eastern
Columbus Blue Jackets,metropolitan,eastern
Philadelphia Flyers,metropolitan,eastern
New York Rangers,metropolitan,eastern
New Jersey Devils,metropolitan,eastern
Winnipeg Jets,central,western
Nashville Predators,central,western
St. Louis Blues,central,western
Dallas Stars,central,western
Minnesota Wild,central,western
Chicago Blackhawks,central,western
Colorado Avalanche,central,western
Calgary Flames,pacific,western
San Jose Sharks,pacific,western
Vegas Golden Knights,pacific,western
Arizona Coyotes,pacific,western
Edmonton Oilers,pacific,western
Vancouver Canucks,pacific,western
Anaheim Ducks,pacific,western
Los Angeles Kings,pacific,western
